,dataset,method,W_train,W_test,R2_real,R2_fake,R2_comb,F1_real,F1_fake,F1_comb,coverage_train,coverage_test,time,R2_lin_real,R2_lin_fake,R2_lin_comb,F1_lin_real,F1_lin_fake,F1_lin_comb,R2_linboost_real,R2_linboost_fake,R2_linboost_comb,F1_linboost_real,F1_linboost_fake,F1_linboost_comb,R2_tree_real,R2_tree_fake,R2_tree_comb,F1_tree_real,F1_tree_fake,F1_tree_comb,R2_treeboost_real,R2_treeboost_fake,R2_treeboost_comb,F1_treeboost_real,F1_treeboost_fake,F1_treeboost_comb
10,seeds,CS3F,0.3237865590594953,0.5198455653704749,0.0,0.0,0.0,0.8854938945811156,0.8620702520127808,0.8675336804532205,0.8452380952380952,1.0,21.034948110580444,0.0,0.0,0.0,0.952136752136752,0.952136752136752,0.952136752136752,0.0,0.0,0.0,0.690296631473102,0.8093717691418842,0.5948717948717949,0.0,0.0,0.0,0.9474054425778562,0.8296296296296296,0.9469661066902444,0.0,0.0,0.0,0.952136752136752,0.8571428571428572,0.9761600681140912
11,glass,CS3F,0.3683434059492876,0.656849758841791,0.0,0.0,0.0,0.5781315211321931,0.5954661887755451,0.6563546701263829,0.8070175438596491,0.9302325581395348,38.214130878448486,0.0,0.0,0.0,0.4799783549783549,0.4540293040293041,0.562408424908425,0.0,0.0,0.0,0.4262820512820513,0.4529926595143985,0.4786359530261969,0.0,0.0,0.0,0.7576214983741865,0.8107665128988659,0.8242991924957999,0.0,0.0,0.0,0.6486441798941799,0.664076278659612,0.7600751100751101
12,ecoli,CS3F,0.2423138691331657,0.4298420631261215,0.0,0.0,0.0,0.6926580024269745,0.6667696916303454,0.678279163672548,0.9029850746268656,0.9558823529411764,34.83409285545349,0.0,0.0,0.0,0.8022365565469013,0.6897273742032697,0.8139295736747011,0.0,0.0,0.0,0.2606252195293291,0.3318139317438056,0.2606252195293291,0.0,0.0,0.0,0.8693615159126048,0.8453052049072683,0.8351210494246604,0.0,0.0,0.0,0.8384087177190627,0.8002322556670382,0.8034408120615018
13,yeast,CS3F,0.2145877391223344,0.3336629218937075,0.0,0.0,0.0,0.5553497862191825,0.4388527478724854,0.4964878029400627,0.8770008424599831,0.9124579124579124,113.78792095184326,0.0,0.0,0.0,0.5726944710600093,0.593488216044607,0.5709712830189466,0.0,0.0,0.0,0.5075316957279706,0.1903081465628281,0.2368483026050401,0.0,0.0,0.0,0.5823849472777192,0.4690654639851649,0.6037921479902018,0.0,0.0,0.0,0.5587880308110307,0.5025491648973416,0.5743394781460622
14,libras,CS3F,6.550099588366815,10.466094346238313,0.0,0.0,0.0,0.5820165007622635,0.4768915427463814,0.5929388574388574,0.8229166666666666,0.8888888888888888,2416.409623861313,0.0,0.0,0.0,0.6941029341029341,0.6145480445480446,0.7305927405927405,0.0,0.0,0.0,0.0731421121251629,0.0684816259009807,0.0747692307692307,0.0,0.0,0.0,0.8188318348318349,0.6370125430125431,0.8203665223665224,0.0,0.0,0.0,0.7419891219891219,0.5875239575239576,0.7460269360269358
15,planning_relax,CS3F,0.7999012211813497,1.3246043318499037,0.0,0.0,0.0,0.439201491401721,0.4493659407703392,0.509791453482976,0.896551724137931,1.0,42.40579771995544,0.0,0.0,0.0,0.3728813559322034,0.4126984126984127,0.4714285714285715,0.0,0.0,0.0,0.3513479853479854,0.4518518518518519,0.539712918660287,0.0,0.0,0.0,0.5057224043778461,0.491103153703506,0.4883114051827584,0.0,0.0,0.0,0.5268542199488491,0.4418103448275862,0.539712918660287
16,blood_transfusion,CS3F,0.1777748834203858,0.1922365550212565,0.0,0.0,0.0,0.5692214013115661,0.5341579896566929,0.5546379351291266,0.9615384615384616,0.9533333333333334,18.25048780441284,0.0,0.0,0.0,0.5520767351370917,0.4842322428529325,0.5293466223698782,0.0,0.0,0.0,0.6458333333333333,0.5933857413933314,0.6309246309246309,0.0,0.0,0.0,0.531055102779456,0.5205524359189696,0.5244809534224634,0.0,0.0,0.0,0.5479204339963833,0.5384615384615384,0.5337995337995338
17,breast_cancer_diagnostic,CS3F,1.3515785271817702,1.8417199535826216,0.0,0.0,0.0,0.9506542859741214,0.8993466506731228,0.94129170906777,0.8043956043956044,0.8947368421052632,439.598433971405,0.0,0.0,0.0,0.9526381387619444,0.8920454545454546,0.9349474199070678,0.0,0.0,0.0,0.9439895185063872,0.8906649616368287,0.9439895185063872,0.0,0.0,0.0,0.9436878993265672,0.9064636261237348,0.9512824779505572,0.0,0.0,0.0,0.9623015873015872,0.9082125603864736,0.9349474199070678
18,connectionist_bench_vowel,CS3F,0.4810594913637467,0.8015156709853312,0.0,0.0,0.0,0.6556645117826283,0.6082224848715753,0.6569675559796836,0.8535353535353535,0.9090909090909092,156.83886623382568,0.0,0.0,0.0,0.6774085965295531,0.6556058512887617,0.6730020237760176,0.0,0.0,0.0,0.0919399441138571,0.0929104887947096,0.0852143169903812,0.0,0.0,0.0,0.960177679918744,0.8717523606335877,0.96633887688208,0.0,0.0,0.0,0.8931318265683591,0.812621238769242,0.9033150062702554
19,concrete_slump,CS3F,0.6593661124421668,1.0128040334177577,0.8479047037616352,0.7606363598566528,0.831934275060195,0.0,0.0,0.0,0.7926829268292683,0.9523809523809524,8.979621887207031,0.8373694981724864,0.840280599663517,0.8389429933900894,0.0,0.0,0.0,0.824709693102418,0.7590038696656791,0.823515106251407,0.0,0.0,0.0,0.8508616691663433,0.7894713887590349,0.8583934432798536,0.0,0.0,0.0,0.8786779546052931,0.65378958133838,0.8068855573194298,0.0,0.0,0.0
20,wine_quality_red,CS3F,0.4432873001659544,0.519235917482381,0.341719937594195,0.2949681290789227,0.3752250415085293,0.0,0.0,0.0,0.8389366692728695,0.971875,170.01311206817627,0.3316339899741419,0.2922670266044831,0.3274683108936,0.0,0.0,0.0,0.3046534578350943,0.3015386415970223,0.3131422016366909,0.0,0.0,0.0,0.4345191675196179,0.3413421211961243,0.4496450701245194,0.0,0.0,0.0,0.2960731350479257,0.2447247269180611,0.4106445833793071,0.0,0.0,0.0
21,wine_quality_white,CS3F,0.4617614629705701,0.5260971565626833,0.3456614927526069,0.2500583934578467,0.3455127116233624,0.0,0.0,0.0,0.8238897396630934,0.9581632653061224,584.5806770324707,0.2513476761101879,0.2429910619078313,0.257678684244188,0.0,0.0,0.0,0.2767509195855986,0.2412984908260527,0.2825853389533307,0.0,0.0,0.0,0.4585457301988235,0.306691505541008,0.4525782029190941,0.0,0.0,0.0,0.3960016451158176,0.2092525155564946,0.3892086203768364,0.0,0.0,0.0
22,tictactoe,CS3F,1.2650130548302825,2.1400674499564696,0.0,0.0,0.0,0.9408726856619728,0.7693690116476315,0.8234281032484166,0.6919060052219321,0.5416666666666666,53.8208692073822,0.0,0.0,0.0,0.9884559884559884,0.6807449285001663,0.6900953778429932,0.0,0.0,0.0,0.7991835082155269,0.6760088041085841,0.6760088041085841,0.0,0.0,0.0,0.9873139325435404,0.8324904441328218,0.950696254130112,0.0,0.0,0.0,0.9885373134328358,0.8882318698489537,0.976911976911977
23,congress,CS3F,2.313218390804598,3.316091954022983,0.0,0.0,0.0,0.957441083605224,0.9512474085120324,0.9568685843608477,0.8477011494252874,0.8735632183908046,52.9817259311676,0.0,0.0,0.0,0.9386026817219476,0.9511784511784512,0.9511784511784512,0.0,0.0,0.0,0.9635932487097224,0.9635932487097224,0.9511784511784512,0.0,0.0,0.0,0.9639751552795032,0.951615252438008,0.9615241863767656,0.0,0.0,0.0,0.9635932487097224,0.9386026817219476,0.9635932487097224
24,car,CS3F,0.5050651230101354,1.05741866943277,0.0,0.0,0.0,0.8272181070709679,0.694657577135324,0.7828457873172194,0.5455861070911722,0.4826589595375722,82.66108512878418,0.0,0.0,0.0,0.8541542501729695,0.8097590533219277,0.8600574712643678,0.0,0.0,0.0,0.5851672700654836,0.4858759717613439,0.616335286975202,0.0,0.0,0.0,0.892311899167405,0.730662445852682,0.7973769579920689,0.0,0.0,0.0,0.977239008878013,0.752332837605342,0.8576134330372387
